id,name,logo_path,parent_id,territory_id,official_name,code,gender,is_active,team_type
70,England National Team,user://assets/textures/territory_logo/70.webp,,70,England National Team,,0,1,1
71,Equatorial Guinea National Team,user://assets/textures/territory_logo/71.webp,,71,Republic of Equatorial Guinea National Team,,0,1,1
72,Eritrea National Team,user://assets/textures/territory_logo/72.webp,,72,State of Eritrea National Team,,0,1,1
73,Estonia National Team,user://assets/textures/territory_logo/73.webp,,73,Republic of Estonia National Team,,0,1,1
74,Eswatini National Team,user://assets/textures/territory_logo/74.webp,,74,Kingdom of Eswatini National Team,,0,1,1
75,Ethiopia National Team,user://assets/textures/territory_logo/75.webp,,75,Federal Democratic Republic of Ethiopia National Team,,0,1,1
76,Falkland Islands National Team,user://assets/textures/territory_logo/76.webp,,76,Falkland Islands National Team,,0,1,1
77,Faroe Islands National Team,user://assets/textures/territory_logo/77.webp,,77,Faroe Islands National Team,,0,1,1
78,Federated States of Micronesia National Team,user://assets/textures/territory_logo/78.webp,,78,Federated States of Micronesia National Team,,0,1,1
79,Fiji National Team,user://assets/textures/territory_logo/79.webp,,79,Republic of Fiji National Team,,0,1,1
80,Finland National Team,user://assets/textures/territory_logo/80.webp,,80,Republic of Finland National Team,,0,1,1
81,France National Team,user://assets/textures/territory_logo/81.webp,,81,French Republic National Team,,0,1,1
82,French Guiana National Team,user://assets/textures/territory_logo/82.webp,,82,French Guiana National Team,,0,1,1
83,French Polynesia National Team,user://assets/textures/territory_logo/83.webp,,83,French Polynesia National Team,,0,1,1
84,Gabon National Team,user://assets/textures/territory_logo/84.webp,,84,Gabonese Republic National Team,,0,1,1
85,The Gambia National Team,user://assets/textures/territory_logo/85.webp,,85,Republic of the Gambia National Team,,0,1,1
86,Georgia National Team,user://assets/textures/territory_logo/86.webp,,86,Georgia National Team,,0,1,1
87,Germany National Team,user://assets/textures/territory_logo/87.webp,,87,Federal Republic of Germany National Team,,0,1,1
88,Ghana National Team,user://assets/textures/territory_logo/88.webp,,88,Republic of Ghana National Team,,0,1,1
89,Gibraltar National Team,user://assets/textures/territory_logo/89.webp,,89,Gibraltar National Team,,0,1,1
90,Gozo National Team,user://assets/textures/territory_logo/90.webp,,90,Gozo National Team,,0,1,1
91,Greece National Team,user://assets/textures/territory_logo/91.webp,,91,Hellenic Republic National Team,,0,1,1
92,Greenland National Team,user://assets/textures/territory_logo/92.webp,,92,Greenland National Team,,0,1,1
93,Grenada National Team,user://assets/textures/territory_logo/93.webp,,93,Grenada National Team,,0,1,1
94,Guadeloupe National Team,user://assets/textures/territory_logo/94.webp,,94,Guadeloupe National Team,,0,1,1
95,Guam National Team,user://assets/textures/territory_logo/95.webp,,95,Guam National Team,,0,1,1
96,Guatemala National Team,user://assets/textures/territory_logo/96.webp,,96,Republic of Guatemala National Team,,0,1,1
97,Guernsey National Team,user://assets/textures/territory_logo/97.webp,,97,Guernsey National Team,,0,1,1
98,Guinea National Team,user://assets/textures/territory_logo/98.webp,,98,Republic of Guinea National Team,,0,1,1
99,Guinea-Bissau National Team,user://assets/textures/territory_logo/99.webp,,99,Republic of Guinea-Bissau National Team,,0,1,1
100,Guyana National Team,user://assets/textures/territory_logo/100.webp,,100,Co-operative Republic of Guyana National Team,,0,1,1
101,Haiti National Team,user://assets/textures/territory_logo/101.webp,,101,Republic of Haiti National Team,,0,1,1
102,Hawaii National Team,user://assets/textures/territory_logo/102.webp,,102,Hawaii National Team,,0,1,1
103,Honduras National Team,user://assets/textures/territory_logo/103.webp,,103,Republic of Honduras National Team,,0,1,1
104,Hong Kong National Team,user://assets/textures/territory_logo/104.webp,,104,Hong Kong National Team,,0,1,1
105,Hungary National Team,user://assets/textures/territory_logo/105.webp,,105,Hungary National Team,,0,1,1
106,Iceland National Team,user://assets/textures/territory_logo/106.webp,,106,Iceland National Team,,0,1,1
107,India National Team,user://assets/textures/territory_logo/107.webp,,107,Republic of India National Team,,0,1,1
108,Indonesia National Team,user://assets/textures/territory_logo/108.webp,,108,Republic of Indonesia National Team,,0,1,1
109,Iran National Team,user://assets/textures/territory_logo/109.webp,,109,Islamic Republic of Iran National Team,,0,1,1
110,Iraq National Team,user://assets/textures/territory_logo/110.webp,,110,Republic of Iraq National Team,,0,1,1
111,Ireland National Team,user://assets/textures/territory_logo/111.webp,,111,Republic of Ireland National Team,,0,1,1
112,Isle of Man National Team,user://assets/textures/territory_logo/112.webp,,112,Isle of Man National Team,,0,1,1
113,Isle of Wight National Team,user://assets/textures/territory_logo/113.webp,,113,Isle of Wight National Team,,0,1,1
114,Isles of Scilly National Team,user://assets/textures/territory_logo/114.webp,,114,Isles of Scilly National Team,,0,1,1
115,Israel National Team,user://assets/textures/territory_logo/115.webp,,115,State of Israel National Team,,0,1,1
116,Italy National Team,user://assets/textures/territory_logo/116.webp,,116,Italian Republic National Team,,0,1,1
117,Ivory Coast National Team,user://assets/textures/territory_logo/117.webp,,117,Republic of Côte d'Ivoire National Team,,0,1,1
118,Jamaica National Team,user://assets/textures/territory_logo/118.webp,,118,Jamaica National Team,,0,1,1
119,Japan National Team,user://assets/textures/territory_logo/119.webp,,119,Japan National Team,,0,1,1
120,Jersey National Team,user://assets/textures/territory_logo/120.webp,,120,Bailiwick of Jersey National Team,,0,1,1
121,Jordan National Team,user://assets/textures/territory_logo/121.webp,,121,Hashemite Kingdom of Jordan National Team,,0,1,1
122,Kazakhstan National Team,user://assets/textures/territory_logo/122.webp,,122,Republic of Kazakhstan National Team,,0,1,1
123,Kenya National Team,user://assets/textures/territory_logo/123.webp,,123,Republic of Kenya National Team,,0,1,1
124,Kiribati National Team,user://assets/textures/territory_logo/124.webp,,124,Republic of Kiribati National Team,,0,1,1
125,Kosovo National Team,user://assets/textures/territory_logo/125.webp,,125,Republic of Kosovo National Team,,0,1,1
126,Kuwait National Team,user://assets/textures/territory_logo/126.webp,,126,State of Kuwait National Team,,0,1,1
127,Kyrgyzstan National Team,user://assets/textures/territory_logo/127.webp,,127,Kyrgyz Republic National Team,,0,1,1
128,Laos National Team,user://assets/textures/territory_logo/128.webp,,128,Lao People's Democratic Republic National Team,,0,1,1
129,Latvia National Team,user://assets/textures/territory_logo/129.webp,,129,Republic of Latvia National Team,,0,1,1
130,Lebanon National Team,user://assets/textures/territory_logo/130.webp,,130,Republic of Lebanon National Team,,0,1,1
131,Lesotho National Team,user://assets/textures/territory_logo/131.webp,,131,Kingdom of Lesotho National Team,,0,1,1
132,Liberia National Team,user://assets/textures/territory_logo/132.webp,,132,Republic of Liberia National Team,,0,1,1
133,Libya National Team,user://assets/textures/territory_logo/133.webp,,133,State of Libya National Team,,0,1,1
134,Liechtenstein National Team,user://assets/textures/territory_logo/134.webp,,134,Principality of Liechtenstein National Team,,0,1,1
135,Lithuania National Team,user://assets/textures/territory_logo/135.webp,,135,Republic of Lithuania National Team,,0,1,1
136,Luxembourg National Team,user://assets/textures/territory_logo/136.webp,,136,Grand Duchy of Luxembourg National Team,,0,1,1
137,Macau National Team,user://assets/textures/territory_logo/137.webp,,137,Macau National Team,,0,1,1
138,Madagascar National Team,user://assets/textures/territory_logo/138.webp,,138,Republic of Madagascar National Team,,0,1,1
139,Madeira National Team,user://assets/textures/territory_logo/139.webp,,139,Autonomous Region of Madeira National Team,,0,1,1
140,Malawi National Team,user://assets/textures/territory_logo/140.webp,,140,Republic of Malawi National Team,,0,1,1
141,Malaysia National Team,user://assets/textures/territory_logo/141.webp,,141,Malaysia National Team,,0,1,1
142,Maldives National Team,user://assets/textures/territory_logo/142.webp,,142,Republic of Maldives National Team,,0,1,1
143,Mali National Team,user://assets/textures/territory_logo/143.webp,,143,Republic of Mali National Team,,0,1,1
144,Malta National Team,user://assets/textures/territory_logo/144.webp,,144,Republic of Malta National Team,,0,1,1
145,Marshall Islands National Team,user://assets/textures/territory_logo/145.webp,,145,Republic of the Marshall Islands National Team,,0,1,1
146,Martinique National Team,user://assets/textures/territory_logo/146.webp,,146,Martinique National Team,,0,1,1
147,Mauritania National Team,user://assets/textures/territory_logo/147.webp,,147,Islamic Republic of Mauritania National Team,,0,1,1
148,Mauritius National Team,user://assets/textures/territory_logo/148.webp,,148,Republic of Mauritius National Team,,0,1,1
149,Mayotte National Team,user://assets/textures/territory_logo/149.webp,,149,Department of Mayotte National Team,,0,1,1
150,Mexico National Team,user://assets/textures/territory_logo/150.webp,,150,United Mexican States National Team,,0,1,1
151,Moldova National Team,user://assets/textures/territory_logo/151.webp,,151,Republic of Moldova National Team,,0,1,1
152,Monaco National Team,user://assets/textures/territory_logo/152.webp,,152,Principality of Monaco National Team,,0,1,1
153,Mongolia National Team,user://assets/textures/territory_logo/153.webp,,153,Mongolia National Team,,0,1,1
154,Montenegro National Team,user://assets/textures/territory_logo/154.webp,,154,Montenegro National Team,,0,1,1
155,Montserrat National Team,user://assets/textures/territory_logo/155.webp,,155,Montserrat National Team,,0,1,1
156,Morocco National Team,user://assets/textures/territory_logo/156.webp,,156,Kingdom of Morocco National Team,,0,1,1
157,Mozambique National Team,user://assets/textures/territory_logo/157.webp,,157,Republic of Mozambique National Team,,0,1,1
158,Myanmar National Team,user://assets/textures/territory_logo/158.webp,,158,Republic of the Union of Myanmar National Team,,0,1,1
159,Namibia National Team,user://assets/textures/territory_logo/159.webp,,159,Republic of Namibia National Team,,0,1,1
160,Nauru National Team,user://assets/textures/territory_logo/160.webp,,160,Republic of Nauru National Team,,0,1,1
161,Nepal National Team,user://assets/textures/territory_logo/161.webp,,161,Federal Democratic Republic of Nepal National Team,,0,1,1
162,Netherlands National Team,user://assets/textures/territory_logo/162.webp,,162,Kingdom of the Netherlands National Team,,0,1,1
163,New Caledonia National Team,user://assets/textures/territory_logo/163.webp,,163,New Caledonia National Team,,0,1,1
164,New Zealand National Team,user://assets/textures/territory_logo/164.webp,,164,New Zealand National Team,,0,1,1
165,Nicaragua National Team,user://assets/textures/territory_logo/165.webp,,165,Republic of Nicaragua National Team,,0,1,1
166,Niger National Team,user://assets/textures/territory_logo/166.webp,,166,Republic of the Niger National Team,,0,1,1
167,Nigeria National Team,user://assets/textures/territory_logo/167.webp,,167,Federal Republic of Nigeria National Team,,0,1,1
168,Niue National Team,user://assets/textures/territory_logo/168.webp,,168,Niue National Team,,0,1,1
169,Norfolk Island National Team,user://assets/textures/territory_logo/169.webp,,169,Norfolk Island National Team,,0,1,1
170,North Korea National Team,user://assets/textures/territory_logo/170.webp,,170,Democratic People's Republic of Korea National Team,,0,1,1
171,North Macedonia National Team,user://assets/textures/territory_logo/171.webp,,171,Republic of North Macedonia National Team,,0,1,1
172,Northern Cyprus National Team,user://assets/textures/territory_logo/172.webp,,172,Turkish Republic of Northern Cyprus National Team,,0,1,1
173,Northern Ireland National Team,user://assets/textures/territory_logo/173.webp,,173,Northern Ireland National Team,,0,1,1
174,Northern Mariana Islands National Team,user://assets/textures/territory_logo/174.webp,,174,Commonwealth of the Northern Mariana Islands National Team,,0,1,1
175,Norway National Team,user://assets/textures/territory_logo/175.webp,,175,Kingdom of Norway National Team,,0,1,1
176,Oman National Team,user://assets/textures/territory_logo/176.webp,,176,Sultanate of Oman National Team,,0,1,1
177,Orkney National Team,user://assets/textures/territory_logo/177.webp,,177,Orkney National Team,,0,1,1
178,Pakistan National Team,user://assets/textures/territory_logo/178.webp,,178,Islamic Republic of Pakistan National Team,,0,1,1
179,Palau National Team,user://assets/textures/territory_logo/179.webp,,179,Republic of Palau National Team,,0,1,1
180,Palestine National Team,user://assets/textures/territory_logo/180.webp,,180,State of Palestine National Team,,0,1,1
181,Panama National Team,user://assets/textures/territory_logo/181.webp,,181,Republic of Panama National Team,,0,1,1
182,Papua New Guinea National Team,user://assets/textures/territory_logo/182.webp,,182,Independent State of Papua New Guinea National Team,,0,1,1
183,Paraguay National Team,user://assets/textures/territory_logo/183.webp,,183,Republic of Paraguay National Team,,0,1,1
184,Peru National Team,user://assets/textures/territory_logo/184.webp,,184,Republic of Peru National Team,,0,1,1
185,Philippines National Team,user://assets/textures/territory_logo/185.webp,,185,Republic of the Philippines National Team,,0,1,1
186,Pitcairn Islands National Team,user://assets/textures/territory_logo/186.webp,,186,"Pitcairn, Henderson, Ducie and Oeno Islands National Team",,0,1,1
187,Poland National Team,user://assets/textures/territory_logo/187.webp,,187,Republic of Poland National Team,,0,1,1
188,Portugal National Team,user://assets/textures/territory_logo/188.webp,,188,Portuguese Republic National Team,,0,1,1
189,Puerto Rico National Team,user://assets/textures/territory_logo/189.webp,,189,Commonwealth of Puerto Rico National Team,,0,1,1
190,Qatar National Team,user://assets/textures/territory_logo/190.webp,,190,State of Qatar National Team,,0,1,1
191,Réunion National Team,user://assets/textures/territory_logo/191.webp,,191,Réunion National Team,,0,1,1
192,Romania National Team,user://assets/textures/territory_logo/192.webp,,192,Romania National Team,,0,1,1
193,Russia National Team,user://assets/textures/territory_logo/193.webp,,193,Russian Federation National Team,,0,1,1
194,Rwanda National Team,user://assets/textures/territory_logo/194.webp,,194,Republic of Rwanda National Team,,0,1,1
195,Saba National Team,user://assets/textures/territory_logo/195.webp,,195,Saba National Team,,0,1,1
196,Sahrawi Republic National Team,user://assets/textures/territory_logo/196.webp,,196,Sahrawi Arab Democratic Republic National Team,,0,1,1
197,Saint Helena National Team,user://assets/textures/territory_logo/197.webp,,197,Saint Helena National Team,,0,1,1
198,Saint Kitts and Nevis National Team,user://assets/textures/territory_logo/198.webp,,198,Federation of Saint Kitts and Nevis National Team,,0,1,1
199,Saint Lucia National Team,user://assets/textures/territory_logo/199.webp,,199,Saint Lucia National Team,,0,1,1
200,Saint Martin National Team,user://assets/textures/territory_logo/200.webp,,200,Saint Martin National Team,,0,1,1
201,Saint Pierre and Miquelon National Team,user://assets/textures/territory_logo/201.webp,,201,Territorial Collectivity of Saint Pierre and Miquelon National Team,,0,1,1
202,Saint Vincent and the Grenadines National Team,user://assets/textures/territory_logo/202.webp,,202,Saint Vincent and the Grenadines National Team,,0,1,1
203,Saint-Barthélemy National Team,user://assets/textures/territory_logo/203.webp,,203,Collectivité territoriale de Saint-Barthélemy National Team,,0,1,1
204,Samoa National Team,user://assets/textures/territory_logo/204.webp,,204,Independent State of Samoa National Team,,0,1,1
205,San Marino National Team,user://assets/textures/territory_logo/205.webp,,205,Republic of San Marino National Team,,0,1,1
206,São Tomé and Príncipe National Team,user://assets/textures/territory_logo/206.webp,,206,Democratic Republic of São Tomé and Príncipe National Team,,0,1,1
207,Saudi Arabia National Team,user://assets/textures/territory_logo/207.webp,,207,Kingdom of Saudi Arabia National Team,,0,1,1
208,Scotland National Team,user://assets/textures/territory_logo/208.webp,,208,Scotland National Team,,0,1,1
209,Senegal National Team,user://assets/textures/territory_logo/209.webp,,209,Republic of Senegal National Team,,0,1,1
210,Serbia National Team,user://assets/textures/territory_logo/210.webp,,210,Republic of Serbia National Team,,0,1,1
211,Seychelles National Team,user://assets/textures/territory_logo/211.webp,,211,Republic of Seychelles National Team,,0,1,1
212,Sierra Leone National Team,user://assets/textures/territory_logo/212.webp,,212,Republic of Sierra Leone National Team,,0,1,1
213,Singapore National Team,user://assets/textures/territory_logo/213.webp,,213,Republic of Singapore National Team,,0,1,1
214,Sint Eustatius National Team,user://assets/textures/territory_logo/214.webp,,214,Sint Eustatius National Team,,0,1,1
215,Sint Maarten National Team,user://assets/textures/territory_logo/215.webp,,215,Sint Maarten National Team,,0,1,1
216,Slovakia National Team,user://assets/textures/territory_logo/216.webp,,216,Slovak Republic National Team,,0,1,1
217,Slovenia National Team,user://assets/textures/territory_logo/217.webp,,217,Republic of Slovenia National Team,,0,1,1
218,Solomon Islands National Team,user://assets/textures/territory_logo/218.webp,,218,Solomon Islands National Team,,0,1,1
219,Somalia National Team,user://assets/textures/territory_logo/219.webp,,219,Federal Republic of Somalia National Team,,0,1,1
220,Somaliland National Team,user://assets/textures/territory_logo/220.webp,,220,Republic of Somaliland National Team,,0,1,1
221,South Africa National Team,user://assets/textures/territory_logo/221.webp,,221,Republic of South Africa National Team,,0,1,1
222,South Korea National Team,user://assets/textures/territory_logo/222.webp,,222,Republic of Korea National Team,,0,1,1
223,South Ossetia National Team,user://assets/textures/territory_logo/223.webp,,223,Republic of South Ossetia National Team,,0,1,1
224,South Sudan National Team,user://assets/textures/territory_logo/224.webp,,224,Republic of South Sudan National Team,,0,1,1
225,Sovereign Military Order of Malta National Team,user://assets/textures/territory_logo/225.webp,,225,"Sovereign Military Hospitaller Order of Saint John of Jerusalem, of Rhodes and of Malta National Team",,0,1,1
226,Spain National Team,user://assets/textures/territory_logo/226.webp,,226,Kingdom of Spain National Team,,0,1,1
227,Sri Lanka National Team,user://assets/textures/territory_logo/227.webp,,227,Democratic Socialist Republic of Sri Lanka National Team,,0,1,1
228,Sudan National Team,user://assets/textures/territory_logo/228.webp,,228,Republic of the Sudan National Team,,0,1,1
229,Suriname National Team,user://assets/textures/territory_logo/229.webp,,229,Republic of Suriname National Team,,0,1,1
230,Sweden National Team,user://assets/textures/territory_logo/230.webp,,230,Kingdom of Sweden National Team,,0,1,1
231,Switzerland National Team,user://assets/textures/territory_logo/231.webp,,231,Swiss Confederation National Team,,0,1,1
232,Syria National Team,user://assets/textures/territory_logo/232.webp,,232,Syrian Arab Republic National Team,,0,1,1
233,Taiwan National Team,user://assets/textures/territory_logo/233.webp,,233,Republic of China National Team,,0,1,1
234,Tajikistan National Team,user://assets/textures/territory_logo/234.webp,,234,Republic of Tajikistan National Team,,0,1,1
235,Tanzania National Team,user://assets/textures/territory_logo/235.webp,,235,United Republic of Tanzania National Team,,0,1,1
236,Thailand National Team,user://assets/textures/territory_logo/236.webp,,236,Kingdom of Thailand National Team,,0,1,1
237,Togo National Team,user://assets/textures/territory_logo/237.webp,,237,Togolese Republic National Team,,0,1,1
238,Tokelau National Team,user://assets/textures/territory_logo/238.webp,,238,Tokelau National Team,,0,1,1
239,Tonga National Team,user://assets/textures/territory_logo/239.webp,,239,Kingdom of Tonga National Team,,0,1,1
240,Transnistria National Team,user://assets/textures/territory_logo/240.webp,,240,Pridnestrovian Moldavian Republic National Team,,0,1,1
241,Trinidad and Tobago National Team,user://assets/textures/territory_logo/241.webp,,241,Republic of Trinidad and Tobago National Team,,0,1,1
242,Tristan da Cunha National Team,user://assets/textures/territory_logo/242.webp,,242,Tristan da Cunha National Team,,0,1,1
243,Tunisia National Team,user://assets/textures/territory_logo/243.webp,,243,Republic of Tunisia National Team,,0,1,1
244,Turkey National Team,user://assets/textures/territory_logo/244.webp,,244,Republic of Türkiye National Team,,0,1,1
245,Turkmenistan National Team,user://assets/textures/territory_logo/245.webp,,245,Turkmenistan National Team,,0,1,1
246,Turks and Caicos Islands National Team,user://assets/textures/territory_logo/246.webp,,246,Turks and Caicos Islands National Team,,0,1,1
247,Tuvalu National Team,user://assets/textures/territory_logo/247.webp,,247,Tuvalu National Team,,0,1,1
248,U.S. Virgin Islands National Team,user://assets/textures/territory_logo/248.webp,,248,Virgin Islands of the United States National Team,,0,1,1
249,Uganda National Team,user://assets/textures/territory_logo/249.webp,,249,Republic of Uganda National Team,,0,1,1
250,Ukraine National Team,user://assets/textures/territory_logo/250.webp,,250,Ukraine National Team,,0,1,1
251,United Arab Emirates National Team,user://assets/textures/territory_logo/251.webp,,251,United Arab Emirates National Team,,0,1,1
252,United States National Team,user://assets/textures/territory_logo/252.webp,,252,United States of America National Team,,0,1,1
253,Uruguay National Team,user://assets/textures/territory_logo/253.webp,,253,Oriental Republic of Uruguay National Team,,0,1,1
254,Uzbekistan National Team,user://assets/textures/territory_logo/254.webp,,254,Republic of Uzbekistan National Team,,0,1,1
255,Vanuatu National Team,user://assets/textures/territory_logo/255.webp,,255,Republic of Vanuatu National Team,,0,1,1
256,Vatican City National Team,user://assets/textures/territory_logo/256.webp,,256,Vatican City State National Team,,0,1,1
257,Venezuela National Team,user://assets/textures/territory_logo/257.webp,,257,Bolivarian Republic of Venezuela National Team,,0,1,1
258,Vietnam National Team,user://assets/textures/territory_logo/258.webp,,258,Socialist Republic of Vietnam National Team,,0,1,1
259,Wales National Team,user://assets/textures/territory_logo/259.webp,,259,Wales National Team,,0,1,1
260,Wallis and Futuna National Team,user://assets/textures/territory_logo/260.webp,,260,Territory of the Wallis and Futuna Islands National Team,,0,1,1
261,Yemen National Team,user://assets/textures/territory_logo/261.webp,,261,Republic of Yemen National Team,,0,1,1
262,Zambia National Team,user://assets/textures/territory_logo/262.webp,,262,Republic of Zambia National Team,,0,1,1
